tokenizer_name,min_repeat,vocab_size,perc_of_max
5,1,"125,549,318",1
4,1,"98,424,631",0.783951936720198
3,1,"54,989,810",0.437993697424943
2,1,"14,041,534",0.11184078275917
sk,1,"8,532,143",0.067958497393033
1,1,"729,252",0.005808490333655
5,2,"27,970,086",1
4,2,"25,744,143",0.920417012661313
3,2,"18,448,509",0.659579988420486
2,2,"6,325,498",0.226152254233326
sk,2,"2,850,645",0.101917634432729
1,2,"406,894",0.014547470465411
3,3,"8,372,240",1
4,3,"8,191,498",0.978411751215923
5,3,"6,085,108",0.726819584722846
2,3,"3,789,551",0.452632867667434
sk,3,"1,342,343",0.160332599161037
1,3,"287,651",0.03435771072019
3,4,"5,828,969",1
4,4,"5,310,830",0.911109666220561
5,4,"3,769,273",0.646644886943128
2,4,"2,888,392",0.495523650923517
sk,4,"970,502",0.166496339232547
1,4,"237,935",0.040819397049461
3,5,"4,226,673",1
4,5,"3,439,428",0.813743575620825
2,5,"2,300,277",0.544228758647759
5,5,"2,138,736",0.506009336421341
sk,5,"723,230",0.171110942341648
1,5,"202,138",0.047824376288395
3,6,"3,402,188",1
4,6,"2,657,524",0.781122030881303
2,6,"1,951,263",0.573531797772492
5,6,"1,608,265",0.472714911698001
sk,6,"598,500",0.175916204513096
1,6,"179,661",0.052807487416921
3,7,"2,794,275",1
4,7,"2,069,573",0.740647574057671
2,7,"1,687,958",0.604077265122438
5,7,"1,180,406",0.422437304846517
sk,7,"502,072",0.17967880756189
1,7,"160,993",0.057615302717163
3,8,"2,395,570",1
4,8,"1,725,232",0.720175991517676
2,8,"1,502,163",0.627058695842743
5,8,"966,156",0.403309442011713
sk,8,"439,701",0.183547548182687
1,8,"147,866",0.061724766965691
3,9,"2,078,106",1
4,9,"1,447,165",0.696386517338384
2,9,"1,349,900",0.649581878883945
5,9,"783,519",0.377035146426602
sk,9,"388,047",0.186731090714333
1,9,"136,421",0.065646795687997
3,10,"1,843,549",1
4,10,"1,257,831",0.682287804663722
2,10,"1,232,726",0.668670048911095
5,10,"671,689",0.364345618152813
sk,10,"350,529",0.190138152010063
1,10,"127,824",0.069335829967091
3,15,"1,162,809",1
2,15,"867,345",0.745904959455938
4,15,"730,842",0.628514227186064
5,15,"366,007",0.314761065660826
sk,15,"236,877",0.203711013588646
1,15,"98,683",0.084866044208464
3,20,"843,965",1
2,20,"678,065",0.803427867269377
4,20,"504,692",0.598001101941431
5,20,"243,773",0.288842546788078
sk,20,"181,448",0.214994697647414
1,20,"83,201",0.098583472063415
3,30,"539,543",1
2,30,"479,622",0.888941196531138
4,30,"301,530",0.558861851604043
5,30,"138,541",0.256774714897608
sk,30,"125,883",0.233314119541909
1,30,"65,817",0.12198657011582
3,40,"392,935",1
2,40,"374,555",0.953223815643809
4,40,"209,929",0.534258846883072
sk,40,"97,334",0.247710181073205
5,40,"93,242",0.237296244926006
1,40,"55,910",0.142288164709176
2,50,"309,045",1
3,50,"307,022",0.993454027730589
4,50,"158,562",0.513070912003106
sk,50,"79,897",0.258528693232377
5,50,"68,758",0.222485398566552
1,50,"49,600",0.160494426378036
2,100,"169,444",1
3,100,"142,447",0.84067302471613
4,100,"66,126",0.390252826892661
sk,100,"44,048",0.259956091688109
1,100,"34,234",0.202037251245249
5,100,"26,858",0.158506645263332
